"Category","Drill","Difficulty","Level Min","Level Max","Description"
"50-50","Straight Glides","L1–L2","1","2","Flat-base sliding on a rail or box with centered stance, eyes ahead, soft knees, and a straight entry-to-exit path."
"Air 180s","Flat Ground Switchup","L1–L2","1","2","A flat-ground 180 from switch to regular or regular to switch, landing flat and riding away in the new direction."
"Air 180s","Flatland 360s","L1–L2","1","2","A full 360 on a gentle slope along the fall line, using upper-body rotation, a flat board, and a balanced landing in the same direction."
"Air 180s","Traversing 180s","L1–L2","1","2","A 180 performed while traversing across the hill, landing on the new edge and continuing across the slope."
"Air 360","Flatland 360s in Bumps","L3","3","3","A 360 launched from ungroomed bump terrain, timed off the bump and landed balanced on the backside."
"Air Edge Change","Air Edge Change","L2–L3","2","3","A two-footed pipe takeoff where the rider switches edges in the air and lands on the opposite edge with the board underfoot."
"Boardslides","Boardslides","L3","3","3","A 60–120 degree sideways slide across a rail or box with a flat base and centered weight."
"Butters","Butters","L3","3","3","Continuous nose-to-tail rolls with weight shifting smoothly between nose and tail without catching an edge."
"Carved Turns","Edge Ride","L1–L2","1","2","A long, extended carved arc balanced on the edge, letting the sidecut and consistent speed create the turn."
"Carved Turns","Inclination Turns","L1–L2","1","2","A turn initiated by tilting the hips and whole body into the new direction, building edge angle through alignment."
"Carved Turns","J-Turns","L1–L2","1","2","A J-shaped turn starting across the slope, using pivot and twist through initiation and finish with controlled pressure."
"Carved Turns","Lean on Me","L1–L2","1","2","A partner drill using mutual lean to feel tilt and edge angle, with even pressure and coordinated movement."
"Carved Turns","Traverse","L1–L2","1","2","A sustained edge ride across the hill with the uphill edge engaged, hips stacked, and quiet hands."
"Carved Turns","Half Carved Half Skidded","L2–L3","2","3","A turn blending carved and skidded phases to feel the difference between edge grip and pivot."
"Carved Turns","No-Rise Turn","L2–L3","2","3","A turn with constant center-of-mass height, avoiding standing up between turns and maintaining smooth pressure."
"Carved Turns","Reverse Carves","L2–L3","2","3","Carved turns in switch stance, emphasizing edge awareness and symmetrical body position."
"Carved Turns","Sinkers","L2–L3","2","3","A flexed-stance turn that absorbs pressure and lets the board sink into the turn."
"Carved Turns","Snake Turns","L2–L3","2","3","Turns with varying tilt through the phases, creating a snake-like path and smooth edge-angle changes."
"Carved Turns","Sponsor Turns","L2–L3","2","3","Extreme angulation turns that bring the base or sponsor logos toward the uphill view while staying carved and controlled."
"Carved Turns","Tall Turns","L2–L3","2","3","Extended-stance turns that amplify pressure and edge grip while staying tall and balanced."
"Carved Turns","Euro Carve","L3","3","3","A low-speed, high-edge-angle carve that brings the body close to the snow while staying smooth and controlled."
"Dolphin Turns","Dolphin Turns (medium)","L3","3","3","Medium-size across-fall-line turns that rise and fall like a dolphin, using pressure and terrain."
"Dolphin Turns","Dolphin Turns (small)","L3","3","3","Small down-fall-line dolphin turns with quick pressure changes and a tight rhythm."
"General","Counts","L1–L3","1","3","Timed turn rhythm using counts or a metronome to control pressure and tempo."
"General","Cue Words","L1–L3","1","3","Verbal cues such as press, tip, or turn that link movement to pressure and timing."
"General","Follow The Leader","L1–L3","1","3","A drill where the rider follows the instructor’s line and copies turn shape, speed, and pressure."
"General","Leap Frog","L1–L2","1","2","A partner drill with alternating turns and leapfrogging down the slope, focusing on pivot and controlled speed."
"General","Picture Frame","L1–L2","1","2","A visualization drill using an imaginary frame to keep shoulders level while pivoting inside it."
"General","Synchro Turns","L1–L3","1","3","Synchronized turns with a partner, matching turn shape, timing, and pressure."
"General","Big Rig Turns","L2–L3","2","3","Turns using active upper-body twist followed by leg steering, with clear upper-lower body separation."
"General","Flash Turn","L2–L3","2","3","A quick tilt reversal for fast edge changes, keeping the movement sharp and balanced."
"General","Joystick Legs","L2–L3","2","3","A stable upper body with lower-body steering, using leg rotation to guide the board like a joystick."
"General","Pencil and Eraser","L2–L3","2","3","Alternating pencil-thin carved turns and eraser-like skidded turns to contrast pivot and tilt."
"Hanger Turns","Hanger Turns","L2–L3","2","3","A carved turn with a lateral move to touch the downhill edge by hand, keeping the turn smooth."
"Heel to Heel","Heel to Heel (on-snow)","L2","2","2","Carved heel turns linked with a backside 180 pivot on snow to switch to the heel edge."
"Heel to Heel","Heel to Heel (in-air)","L3","3","3","A backside 180 in the air landing heel to switch heel."
"Hop Turn","Hop Turn","L3","3","3","A two-footed hop turn on steep terrain, rotating 180 and landing on the new edge."
"Nose/Tail Press","Nose Press","L1–L3","1","3","Forward pressure across a box, keeping the tail light and balanced."
"Nose/Tail Press","Tail Press","L1–L3","1","3","Aft pressure across a box, keeping the nose light and balanced."
"Nose/Tail Rolls","Nose Manuals","L1–L2","1","2","Riding on the nose only with the tail off the snow and balance over the front foot."
"Nose/Tail Rolls","Tail Manuals","L1–L2","1","2","Riding on the tail only with the nose off the snow and balance over the back foot."
"Nose/Tail Rolls","Linked Manuals","L2–L3","2","3","Fluid switching between nose and tail manuals without stopping, creating continuous flow."
"Nose/Tail Rolls","Nose Rolls","L2–L3","2","3","A 180 pivot on the nose followed by riding away switch, with weight centered over the nose."
"Nose/Tail Rolls","Tail Rolls","L2–L3","2","3","A 180 pivot on the tail followed by riding away switch, with weight centered over the tail."
"Off Piste Bumps","Rebound Turns","L1–L2","1","2","Turns that use bump energy to finish, timing pressure through compression and extension."
"Off Piste Bumps","Hop Turns","L2–L3","2","3","Two-footed jump turns with 180 rotation for steep or bumped terrain, landing balanced on the new edge."
"Off Piste Bumps","Leapers","L2–L3","2","3","Dynamic edge-to-edge hops that keep the board close and land engaged."
"Off Piste Bumps","Terrain Boost","L2–L3","2","3","Using bumps as jumps for air, managing speed and absorbing the landing with soft knees."
"Skidded Turns","C-Turn","L1–L2","1","2","A full skidded turn shaped like a C, combining fore-aft pressure, pivot, and twist."
"Skidded Turns","Falling Leaf","L1","1","1","A traverse-based drill where the board tilts to slide forward and backward like a falling leaf, controlling direction with edge angle."
"Skidded Turns","Fan Progression","L1–L3","1","3","A progression from straight run to skidded turn to carved turn, covering all six fundamentals."
"Skidded Turns","Funnel Turns","L1–L3","1","3","Turns varying from wide to narrow and back, shaping the path like a funnel or hourglass."
"Skidded Turns","Garlands","L1–L2","1","2","C-shaped turns without a full edge change, focusing on pivot and twist."
